lin_ima,can_id,can_nam,can_off,can_off_sta,can_off_dis,can_par_aff,can_inc_cha_ope_sea,can_str1,can_str2,can_cit,can_sta,can_zip,ind_ite_con,ind_uni_con,ind_con,par_com_con,oth_com_con,can_con,tot_con,tra_fro_oth_aut_com,can_loa,oth_loa,tot_loa,off_to_ope_exp,off_to_fun,off_to_leg_acc,oth_rec,tot_rec,ope_exp,exe_leg_acc_dis,fun_dis,tra_to_oth_aut_com,can_loa_rep,oth_loa_rep,tot_loa_rep,ind_ref,par_com_ref,oth_com_ref,tot_con_ref,oth_dis,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_con,net_ope_exp,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4CA20082&tabIndex=1,H4CA20082,"COSTA, JIM",H,CA,16,DEM,INCUMBENT,2037 WEST BULLARD,#355,FRESNO,CA,937111200,"$26,650.00",$410.00,"$27,060.00",,"$89,504.04",,"$116,564.04",,,,,,,,$481.23,"$117,045.27","$71,257.81",,,,,,,,,,,$665.00,"$71,922.81","$616,676.14","$661,798.60","$116,564.04","$71,257.81",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0PA06076&tabIndex=1,H0PA06076,"COSTELLO, RYAN A",H,PA,6,REP,INCUMBENT,P O BOX 3154,,WEST CHESTER,PA,193813154,"$100,400.00","$4,015.00","$104,415.00",,"$236,250.00",,"$340,665.00",,,,,$88.00,,,$207.74,"$340,960.74","$73,501.87",,,,,,,,,,,$875.00,"$74,376.87","$246,528.75","$513,112.62","$340,665.00","$73,413.87",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2CT02112&tabIndex=1,H2CT02112,"COURTNEY, JOSEPH D",H,CT,2,DEM,INCUMBENT,9 TOBIAS COURT,,VERNON,CT,6066,"$35,575.00","$14,158.43","$49,733.43",,"$66,000.00",,"$115,733.43",,,,,"$2,635.65",,,$395.64,"$118,764.72","$51,459.73",,,,,,,,,,,,"$51,459.73","$622,922.48","$690,227.47","$115,733.43","$48,824.08",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8NV00131&tabIndex=1,S8NV00131,"CRADDOCK, JAY GREGORY",S,NV,0,DEM,CHALLENGER,1760 LINN LANE,,LAS VEGAS,NV,89156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6SC05152&tabIndex=1,H6SC05152,"CRAIG, RAY",H,SC,5,REP,OPEN,"2085 CUTTER POINT, #301",,LAKE WYLIE,SC,29710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0ND01026&tabIndex=1,H0ND01026,"CRAMER, KEVIN MR.",H,ND,0,REP,INCUMBENT,PO BOX 396,,BISMARCK,ND,58502,"$85,250.00",$535.00,"$85,785.00",,"$235,000.00",,"$320,785.00",,,,,"$1,605.30",,,,"$322,390.30","$76,518.50",,,,,,,,,,,,"$76,518.50","$395,408.26","$641,280.06","$320,785.00","$74,913.20",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6OR02181&tabIndex=1,H6OR02181,"CRARY, JAMES JIM""",H,OR,2,DEM,CHALLENGER,14393 HIGHWAY 66,,ASHLAND,OR,97520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0AR01083&tabIndex=1,H0AR01083,"CRAWFORD, ERIC ALAN RICK",H,AR,1,REP,INCUMBENT,34 CR 455,,JONESBORO,AR,72404,"$66,750.00","$6,345.00","$73,095.00",,"$40,000.00",,"$113,095.00",,,,,,,,,"$113,095.00","$51,572.93",,,,,,,,,,,"$14,500.00","$66,072.93","$258,577.00","$305,599.07","$113,095.00","$51,572.93",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S2TN00223&tabIndex=1,S2TN00223,"CRIM, LARRY R",S,TN,0,REP,CHALLENGER,PO BOX 149011,,NASHVILLE,TN,37214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6FL13205&tabIndex=1,H6FL13205,"CRIST, CHARLIE JOSEPH",H,FL,13,DEM,INCUMBENT,PO BOX 1547,,ST. PETERSBURG,FL,33731,"$556,966.00","$21,134.72","$578,100.72",,"$136,776.89","$5,400.00","$720,277.61",,,,,$325.99,,,,"$720,603.60","$106,708.48",,,,"$37,000.00",,"$37,000.00","$2,710.00",,,"$2,710.00",,"$146,418.48","$98,055.83","$672,240.95","$717,567.61","$106,382.49","$180,792.63",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8FL16048&tabIndex=1,H8FL16048,"CRISTIANI, COLEN DEAN",H,FL,16,DEM,CHALLENGER,913 70TH DR EAST,,SARASOTA,FL,34243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CO06229&tabIndex=1,H8CO06229,"CROW, JASON",H,CO,6,DEM,CHALLENGER,PO BOX 32145,,AURORA,CO,800412145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX21158&tabIndex=1,H8TX21158,"CROWE, DERRICK CHAD MR.",H,TX,21,DEM,CHALLENGER,10932 MINT JULEP DR,,AUSTIN,TX,78748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NY07046&tabIndex=1,H8NY07046,"CROWLEY, JOSEPH",H,NY,14,DEM,INCUMBENT,48-24 65TH STREET,,WOODSIDE,NY,11377,"$194,713.00","$7,133.22","$201,846.22",,"$189,756.11",,"$391,602.33","$203,597.22",,,,,,,"$11,181.19","$606,380.74","$298,508.03",,,,,,,$100.00,,,$100.00,"$478,744.34","$777,352.37","$1,121,355.90","$950,384.27","$391,502.33","$298,508.03",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S2TX00312&tabIndex=1,S2TX00312,"CRUZ, RAFAEL EDWARD TED",S,TX,0,REP,INCUMBENT,3333 ALLEN PARKWAY,UNIT 1906,HOUSTON,TX,77019,"$541,367.00","$626,944.00","$1,168,312.00",,"$83,000.00",,"$1,251,312.00","$179,881.00",,,,,,,"$37,314.00","$1,468,508.00","$808,879.00",,,,,,,"$15,616.00",,,"$15,616.00",,"$824,495.00","$4,207,690.00","$4,851,704.00","$1,235,696.00","$808,879.00",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2TX23082&tabIndex=1,H2TX23082,"CUELLAR, HENRY R.",H,TX,28,DEM,INCUMBENT,1519 WASHINGTON STREET,SUITE 200,LAREDO,TX,78040,"$47,500.00",$300.47,"$47,800.47",,"$99,480.00","$4,500.00","$151,780.47",,,,,,,,,"$151,780.47","$75,015.46",,,,,,,,,,,"$2,547.43","$77,562.89","$2,077,784.05","$2,152,001.63","$151,780.47","$75,015.46",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0TX07055&tabIndex=1,H0TX07055,"CULBERSON, JOHN",H,TX,7,REP,INCUMBENT,7911 EMERALD BLUFF COURT,,HOUSTON,TX,770954416,"$78,150.00","$1,525.00","$79,675.00",,"$53,300.00",,"$132,975.00",,,,,,,,,"$132,975.00","$82,509.03",,,,,,,,,,,$100.00,"$82,609.03","$81,691.61","$132,057.58","$132,975.00","$82,509.03",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6MD07160&tabIndex=1,H6MD07160,"CUMMINGS, ELIJAH E",H,MD,7,DEM,INCUMBENT,2235 RAYBURN HOUSE OFFICE BLDG.,,WASHINGTON,DC,20515,"$45,900.00","$1,460.00","$47,360.00","$3,000.00","$52,349.00",,"$102,709.00",,,,,"$1,750.00",,,$10.14,"$104,469.14","$52,318.66",,,,,,,,,,,"$134,770.00","$187,088.66","$954,952.82","$872,333.30","$102,709.00","$50,568.66",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4FL26038&tabIndex=1,H4FL26038,"CURBELO, CARLOS MR.",H,FL,26,REP,INCUMBENT,8724 SW 72ND ST,#355,MIAMI,FL,33173,"$208,950.00","$1,581.00","$210,531.00",,"$341,500.00",,"$552,031.00","$61,591.87",,,,,,,,"$613,622.87","$48,888.91",,,,,,,"$2,710.00",,,"$2,710.00",,"$51,598.91","$43,369.74","$605,393.70","$549,321.00","$48,888.91","$105,244.59",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8UT03121&tabIndex=1,H8UT03121,"DAMIAN, KIDD",H,UT,3,REP,OPEN,1271 NORTH 1050 EAST,,AMERICAN FORK,UT,84003,"$3,050.00","$5,316.00","$8,366.00",,,,"$8,366.00",,"$7,155.78",,"$7,155.78",,,,,"$15,521.78","$13,927.57",,,,,,,,,,,,"$13,927.57",,"$1,594.21","$8,366.00","$13,927.57","$7,155.78",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MI02113&tabIndex=1,H8MI02113,"DAVIDSON, ROBERT MICHAEL DR",H,MI,2,DEM,,15524 OAK RIDGE DR,,SPRING LAKE,MI,49456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6OH08315&tabIndex=1,H6OH08315,"DAVIDSON, WARREN",H,OH,8,REP,INCUMBENT,1790 GREENBRIAR DR,,TROY,OH,45373,"$32,925.00","$4,965.00","$37,890.00",,"$16,084.54",,"$53,974.54",,,,,"$3,258.36",,,,"$57,232.90","$39,619.80",,,,,,,,,"$2,700.00","$2,700.00",,"$42,319.80","$110,872.14","$125,785.24","$51,274.54","$36,361.44","$250,000.00",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4IL07037&tabIndex=1,H4IL07037,"DAVIS, DANNY K. MR.",H,IL,7,DEM,INCUMBENT,5956 W. RACE AVENUE,,CHICAGO,IL,60644,"$1,750.00",,"$1,750.00",,"$13,500.00",,"$15,250.00",,,,,,,,,"$15,250.00","$21,120.16",,,,,,,,,,,"$2,437.69","$23,557.85","$310,945.51","$302,637.66","$15,250.00","$21,120.16","$58,954.71",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8AR04106&tabIndex=1,H8AR04106,"DAVIS, RICHARD HARRISON JR",H,AR,4,DEM,CHALLENGER,668 GUTTER ROCK ROAD,,PARIS ARKANSAS,AR,728556126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2IL13120&tabIndex=1,H2IL13120,"DAVIS, RODNEY L",H,IL,13,REP,INCUMBENT,305 BEECHWOOD DR,,TAYLORVILLE,IL,625689601,"$72,850.00","$17,803.00","$90,653.00",$200.00,"$237,000.00",,"$327,853.00",,,,,$16.60,,,$201.33,"$328,070.93","$142,007.65",,,,,,,"$3,059.00",,,"$3,059.00",,"$145,066.65","$396,800.06","$579,804.34","$324,794.00","$141,991.05",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA49055&tabIndex=1,H0CA49055,"DAVIS, SUSAN A.",H,CA,53,DEM,INCUMBENT,PO BOX 84049,,SAN DIEGO,CA,92138,"$6,300.00","$2,873.02","$9,173.02",,"$30,500.00",,"$39,673.02",,,,,,,,$0.64,"$39,673.66","$40,567.36",,,,,,,,,,,"$13,500.00","$54,067.36","$255,984.17","$241,590.47","$39,673.02","$40,567.36",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S2TX00379&tabIndex=1,S2TX00379,"DAY, TIMOTHY (TEXAS SLIM)",S,TX,0,REP,CHALLENGER,1527 39TH ST,,GALVESTON ISLAND,TX,77552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CA34274&tabIndex=1,H8CA34274,"DE LA FUENTE, RICARDO",H,CA,34,DEM,OPEN,P.O. BOX 862314,,LOS ANGELES,CA,90086,"$19,300.00","$1,061.00","$20,361.00",,,,"$20,361.00",,"$102,329.99",,"$102,329.99",,,,,"$122,690.99","$76,434.49",,,,,,,,,,,,"$76,434.49",,"$46,256.50","$20,361.00","$76,434.49","$102,329.99",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H7CA34029&tabIndex=1,H7CA34029,"DE LA FUENTE, RICARDO",H,CA,34,DEM,OPEN,PO BOX 862314,,LOS ANGELES,CA,90086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8IA04098&tabIndex=1,H8IA04098,"DEAM, DIRK J",H,IA,4,DEM,CHALLENGER,4201 ARIZONA CIR.,,AMES,IA,50014,$502.00,"$1,035.01","$1,537.01",,,,"$1,537.01",,"$1,000.00",,"$1,000.00",,,,,"$2,537.01",$96.68,,,,,,,,,,,,$96.68,,"$2,440.33","$1,537.01",$96.68,"$1,000.00",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6OR04047&tabIndex=1,H6OR04047,"DEFAZIO, PETER A",H,OR,4,DEM,INCUMBENT,PO BOX 1316,,SPRINGFIELD,OR,97477,"$16,316.00","$42,015.27","$58,331.27",,"$67,500.00",,"$125,831.27",,,,,$200.00,,,$47.13,"$126,078.40","$65,274.25",,,,,,,$305.00,,"$1,000.00","$1,305.00",,"$66,579.25","$712,929.25","$772,428.40","$124,526.27","$65,074.25",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CO01141&tabIndex=1,H6CO01141,"DEGETTE, DIANA L.",H,CO,1,DEM,INCUMBENT,290 ELM STREET,,DENVER,CO,80220,"$44,300.00","$13,427.55","$57,727.55",,"$52,000.00",,"$109,727.55",,,,,,,,$11.92,"$109,739.47","$83,749.99",,,,,,,,,,,"$32,500.00","$116,249.99","$100,044.55","$93,534.03","$109,727.55","$83,749.99",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2MD06195&tabIndex=1,H2MD06195,"DELANEY, JOHN K",H,MD,6,DEM,INCUMBENT,PO BOX 60320,,POTOMAC,MD,20859,"$6,075.00","$1,692.54","$7,767.54",,"$56,000.00",,"$63,767.54",,"$20,000.00",,"$20,000.00",$57.51,,,,"$83,825.05","$36,469.30",,,,,,,,,,,"$4,000.00","$40,469.30","$22,042.84","$65,398.59","$63,767.54","$36,411.79","$1,183,250.00",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CT03072&tabIndex=1,H0CT03072,"DELAURO, ROSA L",H,CT,3,DEM,INCUMBENT,"129 CHURCH ST, STE 818",,NEW HAVEN,CT,6510,"$52,050.00","$13,856.24","$65,906.24",,"$85,590.00",,"$151,496.24",,,,,$900.00,,,,"$152,396.24","$63,848.18",,,,,,,,,,,,"$63,848.18","$15,216.06","$103,764.12","$151,496.24","$62,948.18",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0WA08046&tabIndex=1,H0WA08046,"DELBENE, SUZAN K",H,WA,1,DEM,INCUMBENT,PO BOX 487,,BOTHELL,WA,98041,"$98,219.90","$20,650.64","$118,870.54","$2,245.82","$119,250.00",,"$240,366.36",,,,,,,,,"$240,366.36","$88,571.20",,,,,,,$567.00,,,$567.00,"$25,000.00","$114,138.20","$500,941.52","$627,169.68","$239,799.36","$88,571.20","$495,000.00",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NY19181&tabIndex=1,H8NY19181,"DELGADO, ANTONIO",H,NY,19,DEM,CHALLENGER,PO BOX 802,,RHINEBECK,NY,12572,"$289,105.00","$11,597.90","$300,702.90",,,,"$300,702.90",,,,,,,,,"$300,702.90","$2,769.54",,,,,,,,,,,,"$2,769.54",,"$297,933.36","$300,702.90","$2,769.54",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S4PA00113&tabIndex=1,S4PA00113,"DELONG, PAUL FREDERICK",S,PA,0,REP,CHALLENGER,639 MARKET ST APT 3N,,WILLIAMSPORT,PA,17701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2FL08063&tabIndex=1,H2FL08063,"DEMINGS, VALDEZ VAL",H,FL,10,DEM,INCUMBENT,PO BOX 536926,,ORLANDO,FL,32853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA19173&tabIndex=1,H0CA19173,"DENHAM, JEFF",H,CA,10,REP,INCUMBENT,941 EAST MONTE VISTA,,TURLOCK,CA,95381,"$95,913.62","$3,756.25","$99,669.87",,"$239,200.00",,"$338,869.87","$21,781.89",,,,$790.18,,,$4.12,"$361,446.06","$54,757.02",,,,,,,,,,,,"$54,757.02","$326,702.36","$633,391.40","$338,869.87","$53,966.84",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4PA15087&tabIndex=1,H4PA15087,"DENT, CHARLES WIEDER",H,PA,15,REP,INCUMBENT,PO BOX 442,,ALLENTOWN,PA,18105,"$26,600.00","$2,736.00","$29,336.00",,"$143,000.00",,"$172,336.00",,,,,"$6,828.05",,,$322.71,"$179,486.76","$71,890.87",,,,,,,,,,,,"$71,890.87","$852,892.91","$960,488.80","$172,336.00","$65,062.82",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2FL00292&tabIndex=1,H2FL00292,"DESANTIS, RONALD D.",H,FL,6,REP,INCUMBENT,PO BOX 277,,NEW SMYRNA BEACH,FL,32170,"$1,000.00",$275.00,"$1,275.00",,"$13,000.00",,"$14,275.00",,,,,$234.60,,,,"$14,509.60","$40,814.34",,,,,,,"$10,850.00",,,"$10,850.00",,"$51,664.34","$1,710,114.06","$1,672,959.32","$3,425.00","$40,579.74","$1,000.00",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA10073&tabIndex=1,H0CA10073,"DESAULNIER, MARK",H,CA,11,DEM,INCUMBENT,PO BOX 6066,,CONCORD,CA,94524,"$6,450.00","$1,611.04","$8,061.04",,"$23,000.00",,"$31,061.04",,,,,,,,,"$31,061.04","$33,665.35",,,,,,,,,,,"$5,000.00","$38,665.35","$224,500.29","$216,895.98","$31,061.04","$33,665.35",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0TN04195&tabIndex=1,H0TN04195,"DESJARLAIS, SCOTT HON.",H,TN,4,REP,INCUMBENT,639 SWEETENS COVE ROAD,,SOUTH PITTSBURG,TN,373806414,"$56,900.00",$625.00,"$57,525.00",,"$18,000.00",,"$75,525.00",,,,,$32.82,,,$0.83,"$75,558.65","$23,433.83",,,,,,,,,,,,"$23,433.83","$90,735.13","$142,859.95","$75,525.00","$23,401.01",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0FL19080&tabIndex=1,H0FL19080,"DEUTCH, THEODORE ELIOT",H,FL,22,DEM,INCUMBENT,"7900 GLADES RD, STE 255",,BOCA RATON,FL,33434,"$33,550.00",$471.66,"$34,021.66",,"$17,750.00",,"$51,771.66",,,,,,,,,"$51,771.66","$88,228.46",,,,,,,,,,,"$32,300.00","$120,528.46","$329,473.57","$260,716.77","$51,771.66","$88,228.46",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8MA00284&tabIndex=1,S8MA00284,"DEVINE, JOHN P",S,MA,0,IND,,4 WARREN AVE,,WOBURN,MA,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2FL25018&tabIndex=1,H2FL25018,"DIAZ-BALART, MARIO",H,FL,25,REP,INCUMBENT,8724 SW 72ND STREET,# 420,MIAMI,FL,331733512,"$18,000.00",,"$18,000.00",,"$108,000.00",,"$126,000.00",,,,,$489.00,,,,"$126,489.00","$83,171.00",,,,,,,,,,,,"$83,171.00","$490,742.18","$534,060.18","$126,000.00","$82,682.00",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MN05171&tabIndex=1,H8MN05171,"DIBBLE, SCOTT",H,MN,5,DEM,CHALLENGER,2910 JAMES AVE. SOUTH,APT. F,MINNEAPOLIS,MN,55408,"$12,145.00","$2,374.00","$14,519.00",,,,"$14,519.00",,,,,,,,,"$14,519.00","$14,503.41",,,,,,,,,,,,"$14,503.41",,$15.59,"$14,519.00","$14,503.41",,,2017-01-01,2017-03-25
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8MA00276&tabIndex=1,S8MA00276,"DIEHL, GEOFF",S,MA,0,REP,CHALLENGER,10 VILLAGE WAY,,WHITMAN,MA,2382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4MI12079&tabIndex=1,H4MI12079,"DINGELL, DEBBIE",H,MI,12,DEM,INCUMBENT,"19855 W, OUTER DR",SUITE 103A-E,DEARBORN,MI,48124,"$15,275.00","$4,530.32","$19,805.32",,"$25,500.00",,"$45,305.32",,,,,"$1,517.30",,,,"$46,822.62","$96,738.04",,,"$30,000.00",,,,,,,,"$1,678.82","$128,416.86","$448,488.87","$366,894.63","$45,305.32","$95,220.74",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4TX10028&tabIndex=1,H4TX10028,"DOGGETT, LLOYD",H,TX,35,DEM,INCUMBENT,1157 SAN BERNARD,,AUSTIN,TX,78702,"$4,050.00","$2,690.00","$6,740.00",,"$11,250.00",,"$17,990.00",,,,,,,,,"$17,990.00","$15,046.69",,,,,,,,,,,"$56,750.00","$71,796.69","$3,681,782.96","$3,627,976.27","$17,990.00","$15,046.69",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MI08094&tabIndex=1,H8MI08094,"DOMANIK, DARLENE MARIA JD",H,MI,8,DEM,CHALLENGER,10643 ARBOUR DRIVE,,BRIGHTON,MI,48114,,$59.86,$59.86,,,$5.00,$64.86,,$500.00,,$500.00,,,,,$564.86,$2.40,,,,,,,,,,,,$2.40,,$562.46,$64.86,$2.40,$500.00,,2017-02-28,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S2IN00091&tabIndex=1,S2IN00091,"DONNELLY, JOSEPH S",S,IN,0,DEM,INCUMBENT,PO BOX 891,,INDIANAPOLIS,IN,46204,"$612,992.00","$166,577.00","$779,569.00",,"$539,850.00",,"$1,319,419.00",,,,,$110.00,,,$77.00,"$1,319,607.00","$147,533.00",,,,,,,$20.00,,"$3,650.00","$3,670.00",,"$151,203.00","$1,388,871.00","$2,557,274.00","$1,315,749.00","$147,423.00",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6NY11174&tabIndex=1,H6NY11174,"DONOVAN, DAN",H,NY,11,REP,INCUMBENT,PO BOX 60530,,STATEN ISLAND,NY,10306,"$24,050.00",$810.00,"$24,860.00",,"$54,500.00",,"$79,360.00",,,,,$238.20,,,,"$79,598.20","$70,674.57",,,,,,,,,,,"$2,750.00","$73,424.57","$186,363.34","$192,536.97","$79,360.00","$70,436.37",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8VA11070&tabIndex=1,H8VA11070,"DOVE, JEFFERY ANTHONY MR. JR.",H,VA,11,REP,CHALLENGER,2461 BATTERY HILL CIRCLE,,WOODBRIDGE,VA,22191,$500.00,$896.00,"$1,396.00",,,"$3,828.20","$5,224.20",,,,,,,,,"$5,224.20","$4,170.01",,,,,,,,,,,,"$4,170.01",,"$1,054.19","$5,224.20","$4,170.01",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4PA18131&tabIndex=1,H4PA18131,"DOYLE, MICHAEL",H,PA,14,DEM,INCUMBENT,205 HAWTHORNE CT.,,PITTSBURGH,PA,15221,"$9,250.00",$484.88,"$9,734.88",,"$70,500.00",,"$80,234.88",,,,,$363.50,,,$160.34,"$80,758.72","$55,541.19",,,,,,,,,,,"$12,050.00","$67,591.19","$216,527.68","$229,695.21","$80,234.88","$55,177.69",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8UT00119&tabIndex=1,S8UT00119,"DREW, DANNY",S,UT,0,DEM,CHALLENGER,749 SOUTH HARRISON AVE,APARTMENT C2,ROOSEVELT,UT,84006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6IL00292&tabIndex=1,S6IL00292,"DUCKWORTH, L TAMMY",S,IL,0,DEM,INCUMBENT,PO BOX 10793,,CHICAGO,IL,60610,"$89,734.00","$165,042.00","$254,777.00",,"$33,100.00",,"$287,877.00",,,,,$100.00,,,$0.82,"$287,977.00","$139,441.00",,,,,,,"$1,079.00",,"$4,600.00","$5,679.00","$5,740.00","$150,861.00","$137,402.00","$274,519.00","$282,198.00","$139,341.00",,,2017-01-01,2017-03-31
